method,query_idx,query_name,status,top1_acc_at_0_1,top1_cosine,top1_legacy_module_jaccard,top1_module,top1_name,top1_norm_l2,top1_recall,top1_switch_accuracy,top1_switch_f1,top1_switch_precision,top1_switch_recall
Wav2Vec_RP4096,865,Free Jazz Avantgarde Blue,ok,0.6818181818181818,0.9357451148009149,0.8333333333333334,0.8333333333333334,Deep House Bass,0.1525371361202583,0.625,0.8888888888888888,0.9090909090909091,0.8333333333333334,1.0
Wav2Vec_RP4096,343,Emo Piano,ok,0.625,0.6422369112080089,0.3333333333333333,0.3333333333333333,Mathcore Dissonant Rage,0.3012657415338352,0.4,0.3333333333333333,0.5,1.0,0.3333333333333333
Wav2Vec_RP4096,645,Deep House Synth,ok,0.6818181818181818,0.8983841994572438,0.8333333333333334,0.8333333333333334,Japanese Enka Sahara,0.20237330340123838,0.5,0.8888888888888888,0.9090909090909091,1.0,0.8333333333333334
Wav2Vec_RP4096,999,Americana Alt Outlaw,ok,0.8717948717948718,0.9912550362678914,1.0,1.0,Motown Soul Memphis,0.05552035665692328,0.7916666666666666,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,498,Spanish Guitar,ok,0.5555555555555556,0.7179108631398745,0.3333333333333333,0.3333333333333333,Floating Synth,0.3003427742529182,0.4166666666666667,0.3333333333333333,0.5,0.375,0.75
Wav2Vec_RP4096,118,Flamenco Fusion,ok,0.6226415094339622,0.7923268330642245,0.5555555555555556,0.5555555555555556,Contemporary Jazz Groove,0.25380217402823374,0.5277777777777778,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556
Wav2Vec_RP4096,983,Country Rock Twang Outlaw,ok,1.0,1.0,1.0,1.0,Indie Pop Jangle Charm,0.0,1.0,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,332,Dirty South Trap,ok,0.5625,0.7833166148177214,0.6666666666666666,0.6666666666666666,Deep House Digital,0.30147043406357915,0.5142857142857142,0.6666666666666666,0.8,1.0,0.6666666666666666
Wav2Vec_RP4096,84,Cloud Rap Ethereal,ok,0.6222222222222222,0.872696363980769,0.8888888888888888,0.8888888888888888,Arpeggiated Synth,0.2392027261113655,0.5806451612903226,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Wav2Vec_RP4096,365,Ghostly Pad,ok,1.0,0.9997105197294182,1.0,1.0,Rainforest Ambient,0.01289595514146315,1.0,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,812,Technical Thrash Chaos,ok,0.8974358974358975,0.9944033526435564,1.0,1.0,Technical Thrash Rage,0.04248894166646079,0.7777777777777778,1.0,1.0,1.0,1.0
Wav2Vec_RP4096,938,Modern R&B Sweet,ok,0.5471698113207547,0.7417917184566182,0.5555555555555556,0.5555555555555556,Shamanic Drum,0.30496629376340045,0.5384615384615384,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Wav2Vec_RP4096,717,Overtone Drone Static,ok,0.6274509803921569,0.7005294867939393,0.5,0.5,MPB Brazilian,0.3321478498273543,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.5
